TOKEN_ID,TOKEN_NAME,body,hats,shirt,face,tier,RARITY_SCORE,Rank
7387,Cool Cat #7387,95.0,120.79301075268816,134.22972972972974,903.0,157.90411646586347,1410.9268569482815,47
4245,Cool Cat #4245,95.0,120.79301075268816,132.44,903.0,157.90411646586347,1409.1371272185515,48
7051,Cool Cat #7051,95.0,120.79301075268816,132.44,903.0,157.90411646586347,1409.1371272185515,49
3530,Cool Cat #3530,95.0,120.79301075268816,127.34615384615385,903.0,157.90411646586347,1404.0432810647053,50
8431,Cool Cat #8431,95.0,120.79301075268816,125.73417721518987,903.0,157.90411646586347,1402.4313044337414,51
2995,Cool Cat #2995,95.0,144.9516129032258,92.83177570093459,903.0,157.90411646586347,1393.6875050700237,52
8089,Cool Cat #8089,95.0,144.9516129032258,92.83177570093459,903.0,157.90411646586347,1393.6875050700237,53
3993,Cool Cat #3993,95.0,149.21489563567363,80.7560975609756,903.0,157.90411646586347,1385.8751096625128,54
8302,Cool Cat #8302,95.0,198.95319418089815,220.73333333333335,72.39240506329115,796.9890202702703,1384.067952847793,55
4263,Cool Cat #4263,95.0,195.12717121588088,220.73333333333335,71.78661087866108,796.9890202702703,1379.6361356981456,56
9469,Cool Cat #9469,95.0,195.12717121588088,220.73333333333335,64.5,796.9890202702703,1372.3495248194845,57
5831,Cool Cat #5831,95.0,120.79301075268816,134.22972972972974,857.85,157.90411646586347,1365.7768569482814,58
4017,Cool Cat #4017,95.0,225.48028673835125,180.6,66.5,796.9890202702703,1364.5693070086215,59
7952,Cool Cat #7952,95.0,149.21489563567363,101.35714285714286,857.85,157.90411646586347,1361.32615495868,60
736,Cool Cat #736,95.0,225.48028673835125,174.26315789473685,65.98846153846154,796.9890202702703,1357.7209264418198,61
4455,Cool Cat #4455,95.0,198.95319418089815,183.94444444444446,80.54929577464789,796.9890202702703,1355.4359546702608,62
7889,Cool Cat #7889,95.0,174.94160177975527,220.73333333333335,67.28235294117647,796.9890202702703,1354.9463083245355,63
3138,Cool Cat #3138,95.0,174.94160177975527,220.73333333333335,67.28235294117647,796.9890202702703,1354.9463083245355,64
6122,Cool Cat #6122,95.0,174.94160177975527,220.73333333333335,65.73563218390804,796.9890202702703,1353.399587567267,65
7658,Cool Cat #7658,95.0,225.48028673835125,160.20967741935485,74.59565217391305,796.9890202702703,1352.2746366018896,66
3489,Cool Cat #3489,95.0,225.48028673835125,165.54999999999998,66.5,796.9890202702703,1349.5193070086216,67
7362,Cool Cat #7362,95.0,195.12717121588088,183.94444444444446,74.59565217391305,796.9890202702703,1345.6562881045088,68
2197,Cool Cat #2197,95.0,195.12717121588088,180.6,75.58149779735682,796.9890202702703,1343.2976892835081,69
3606,Cool Cat #3606,95.0,195.12717121588088,183.94444444444446,70.89669421487604,796.9890202702703,1341.9573301454716,70
566,Cool Cat #566,95.0,120.79301075268816,150.5,817.0,157.90411646586347,1341.1971272185515,71
3665,Cool Cat #3665,95.0,198.95319418089815,174.26315789473685,75.58149779735682,796.9890202702703,1340.7868701432621,72
1305,Cool Cat #1305,95.0,198.95319418089815,177.375,71.78661087866108,796.9890202702703,1340.1038253298295,73
3339,Cool Cat #3339,95.0,198.95319418089815,168.35593220338984,80.54929577464789,796.9890202702703,1339.8474424292062,74
6208,Cool Cat #6208,95.0,198.95319418089815,177.375,71.1908713692946,796.9890202702703,1339.508085820463,75
5175,Cool Cat #5175,95.0,202.93225806451613,174.26315789473685,69.74390243902438,796.9890202702703,1338.9283386685477,76
6640,Cool Cat #6640,95.0,198.95319418089815,180.6,67.28235294117647,796.9890202702703,1338.8245673923448,77
2738,Cool Cat #2738,95.0,120.79301075268816,106.80645161290322,857.85,157.90411646586347,1338.3535788314548,78
9271,Cool Cat #9271,95.0,149.21489563567363,78.21259842519686,857.85,157.90411646586347,1338.181610526734,79
2506,Cool Cat #2506,95.0,195.12717121588088,168.35593220338984,80.54929577464789,796.9890202702703,1336.021419464189,80
2965,Cool Cat #2965,95.0,202.93225806451613,165.54999999999998,74.59565217391305,796.9890202702703,1335.0669305086994,81
1434,Cool Cat #1434,95.0,198.95319418089815,174.26315789473685,69.74390243902438,796.9890202702703,1334.9492747849297,82
5438,Cool Cat #5438,95.0,198.95319418089815,168.35593220338984,75.58149779735682,796.9890202702703,1334.8796444519153,83
284,Cool Cat #284,95.0,202.93225806451613,168.35593220338984,71.1908713692946,796.9890202702703,1334.468081907471,84
1137,Cool Cat #1137,95.0,202.93225806451613,168.35593220338984,71.1908713692946,796.9890202702703,1334.468081907471,85
3225,Cool Cat #3225,95.0,198.95319418089815,174.26315789473685,67.28235294117647,796.9890202702703,1332.4877252870817,86
8270,Cool Cat #8270,95.0,198.95319418089815,174.26315789473685,66.5,796.9890202702703,1331.7053723459053,87
4508,Cool Cat #4508,95.0,198.95319418089815,168.35593220338984,72.39240506329115,796.9890202702703,1331.6905517178493,88
658,Cool Cat #658,95.0,198.95319418089815,162.8360655737705,75.58149779735682,796.9890202702703,1329.3597778222957,89
4195,Cool Cat #4195,95.0,174.94160177975527,183.94444444444446,74.59565217391305,796.9890202702703,1325.4707186683831,90
3976,Cool Cat #3976,95.0,120.79301075268816,134.22972972972974,817.0,157.90411646586347,1324.9268569482815,91
4391,Cool Cat #4391,95.0,198.95319418089815,165.54999999999998,67.28235294117647,796.9890202702703,1323.774567392345,92
8506,Cool Cat #8506,95.0,120.79301075268816,85.62931034482759,903.0,118.90561995967742,1323.3279410571931,93
6049,Cool Cat #6049,95.0,198.95319418089815,165.54999999999998,66.5,796.9890202702703,1322.9922144511684,94
5120,Cool Cat #5120,95.0,198.95319418089815,160.20967741935485,71.78661087866108,796.9890202702703,1322.9385027491844,95
7301,Cool Cat #7301,95.0,174.94160177975527,183.94444444444446,71.1908713692946,796.9890202702703,1322.0659378637647,96
1034,Cool Cat #1034,95.0,195.12717121588088,168.35593220338984,66.5,796.9890202702703,1321.9721236895411,97
5468,Cool Cat #5468,95.0,202.93225806451613,160.20967741935485,65.98846153846154,796.9890202702703,1321.119417292603,98
109,Cool Cat #109,95.0,202.93225806451613,155.203125,70.89669421487604,796.9890202702703,1321.0210975496625,99
7601,Cool Cat #7601,95.0,198.95319418089815,165.54999999999998,64.5,796.9890202702703,1320.9922144511684,100
8875,Cool Cat #8875,95.0,198.95319418089815,162.8360655737705,66.5,796.9890202702703,1320.2782800249388,101
3679,Cool Cat #3679,95.0,120.79301075268816,180.6,686.2800000000001,236.38151302605212,1319.0545237787403,102
4985,Cool Cat #4985,95.0,195.12717121588088,160.20967741935485,70.89669421487604,796.9890202702703,1318.222563120382,103
3239,Cool Cat #3239,95.0,198.95319418089815,160.20967741935485,66.5,796.9890202702703,1317.6518918705233,104
6478,Cool Cat #6478,95.0,198.95319418089815,160.20967741935485,66.5,796.9890202702703,1317.6518918705233,105
4961,Cool Cat #4961,95.0,149.21489563567363,150.5,686.2800000000001,236.38151302605212,1317.376408661726,106
