,TOKEN_ID,USER,DATE,RANK,PRICE
633,2955,0x11c486e7bf25b8548d8f181420316f01fd43f4a2,2021-09-13T09:44:19.106241,448,1.0
3771,2955,0xb02408744f0e625f98dc6de5440be0ff75cd8249,2021-09-12T19:44:26.067858,448,0.7
2117,6256,0xf3f6466b22fb2359155e351ee2b52bf5dbbbe1ad,2021-09-12T21:03:50.434392,452,0.889
1727,7716,0x4949338bb2586b9e99b6fb48f3ce8f3cd88a5aac,2021-09-12T22:11:25.510488,456,0.75
693,5434,0x6d22e11df9797cfaa9bc35dfb012121239a6bc51,2021-09-13T08:48:02.519949,457,1.039
3538,3008,0xf8e2ead493aa69f5d178ad8b45919a29dbbfd3ae,2021-09-12T19:49:52.080874,458,0.6
1479,555,0x4b51c9b697f74c86a2099bfd5f34dc341798d12e,2021-09-12T23:17:33.851201,461,0.9
3621,3863,0x63d6e08eef595e830fcc2bdf318e3172a4f6ec82,2021-09-12T19:47:43.970452,464,0.5
1535,8529,0xc7c832d1aa88f26ec2941e37de47da5818c9794d,2021-09-12T23:01:24.671286,467,0.8
1215,8529,0x0c621a7de7993473fee82c579ef04059d0332fa6,2021-09-13T00:49:18.894289,467,1.0
31,6128,0xbcfd5dbec5f49230210e0be85cee183097e840aa,2021-09-13T22:47:16.186916,468,1.0
366,6002,0xa51cc4578939370d3b680f145830b362585964d5,2021-09-13T16:09:37.142813,472,0.9
3848,2366,0xebc3f9afa86851cfe6b487a4f0668a0488951cb8,2021-09-12T19:41:31.125477,473,0.89
1952,5726,0xdd4eb4398789e930484de1aec2c5bc210f5a657b,2021-09-12T21:29:09.967474,476,0.8
2534,1429,0x734b06fcd84ea780118fe7e19e287d67a74c3398,2021-09-12T20:25:47.005797,484,0.95
1046,3397,0x8ae2ac1abdcf50c3b964da14abb591d0d9ba44fc,2021-09-13T02:24:14.191755,490,1.09
509,3397,0x3a0d44b6698c269ead4027b69f601c4b3e4b91eb,2021-09-13T12:46:34.057663,490,1.08
3041,3992,0x6b044c4a026e869529d39e81330cc0c28675e302,2021-09-12T20:05:00.133953,493,0.69
3633,3992,0x36e4ee343c50e0e8dfeaed096d5fa6f146b20b5e,2021-09-12T19:47:28.132495,493,0.45
862,1549,0x0576a371cf0dea4f21356e451bb2629fe149f569,2021-09-13T04:40:14.396111,494,1.0
341,5761,0x190b1425af6abee8115e9a1c644ee72918e4e480,2021-09-13T16:35:35.400560,495,0.918
4160,468,0xba5405e6992c6db06c75dce0a903fe6d87cf2226,2021-09-09T23:52:02.155847,498,2.33
2294,1852,0x6e61d08397b9d4d9f67006867de67af0c4cbe1b4,2021-09-12T20:44:49.030323,499,0.93
3861,1852,0x97c8d6a5f7a2ba1dd3547bf3e75df40533330ff5,2021-09-12T19:41:01.538924,499,1.0
3804,2508,0x05f2fe99ea69ecafd6ad2cddc02f154a97413b5d,2021-09-12T19:43:04.167138,504,0.5
3676,2508,0x0737880a1866bfbda9dea62c91ba00df6c79f395,2021-09-12T19:46:58.189161,504,0.7
2057,5535,0x9a81ac1031c6b293f3d9839fd49d4b9d8cce5a81,2021-09-12T21:11:41.217700,507,0.85
