,block_numbers,timestamps,base_fee
314,13213182,2021-09-12 20:48:20,127.251770494
315,13213183,2021-09-12 20:48:21,118.617071916
316,13213184,2021-09-12 20:48:32,109.18155436
317,13213185,2021-09-12 20:48:34,108.501202242
318,13213186,2021-09-12 20:49:13,122.059908503
319,13213187,2021-09-12 20:49:15,113.060412535
320,13213188,2021-09-12 20:49:18,101.554229165
321,13213189,2021-09-12 20:49:23,99.527978316
322,13213190,2021-09-12 20:49:53,111.487769527
323,13213191,2021-09-12 20:49:57,105.15145451
324,13213192,2021-09-12 20:49:58,94.393679965
325,13213193,2021-09-12 20:50:03,105.73292057
326,13213194,2021-09-12 20:50:05,92.8658788
327,13213195,2021-09-12 20:50:06,84.618683848
328,13213196,2021-09-12 20:50:22,95.170778985
329,13213197,2021-09-12 20:50:49,107.060226476
330,13213198,2021-09-12 20:50:58,95.503500593
331,13213199,2021-09-12 20:51:00,93.171821624
332,13213200,2021-09-12 20:51:01,82.710835016
333,13213201,2021-09-12 20:51:04,74.734403488
334,13213202,2021-09-12 20:52:04,83.650816525
335,13213203,2021-09-12 20:52:16,93.506046852
336,13213204,2021-09-12 20:52:25,105.187406637
337,13213205,2021-09-12 20:52:58,118.329301205
338,13213206,2021-09-12 20:53:22,121.44436177
339,13213207,2021-09-12 20:53:23,111.666315536
340,13213208,2021-09-12 20:53:35,119.720121058
341,13213209,2021-09-12 20:53:46,111.879350182
342,13213210,2021-09-12 20:53:58,108.637455816
343,13213211,2021-09-12 20:54:07,100.129987848
344,13213212,2021-09-12 20:54:29,106.573464377
345,13213213,2021-09-12 20:54:31,98.747616279
346,13213214,2021-09-12 20:54:35,93.662652216
347,13213215,2021-09-12 20:54:39,91.795651154
348,13213216,2021-09-12 20:54:40,83.442958398
349,13213217,2021-09-12 20:54:47,84.803828215
350,13213218,2021-09-12 20:54:49,77.65180953
351,13213219,2021-09-12 20:54:53,78.098662277
352,13213220,2021-09-12 20:55:20,87.652478941
353,13213221,2021-09-12 20:55:51,98.595892493
354,13213222,2021-09-12 20:56:00,93.868182588
355,13213223,2021-09-12 20:56:02,85.505516265
356,13213224,2021-09-12 20:56:08,82.95108742
357,13213225,2021-09-12 20:56:26,89.202315239
358,13213226,2021-09-12 20:56:39,89.784817507
359,13213227,2021-09-12 20:56:52,88.342370543
360,13213228,2021-09-12 20:56:54,78.963912094
361,13213229,2021-09-12 20:56:59,77.197118909
362,13213230,2021-09-12 20:57:03,73.829978722
363,13213231,2021-09-12 20:57:08,72.067083102
364,13213232,2021-09-12 20:57:09,73.893077415
365,13213233,2021-09-12 20:57:28,78.545426539
366,13213234,2021-09-12 20:57:48,84.914904922
367,13213235,2021-09-12 20:57:51,78.089492983
368,13213236,2021-09-12 20:58:11,78.358209848
369,13213237,2021-09-12 20:58:19,74.793981069
370,13213238,2021-09-12 20:58:21,68.528736136
371,13213239,2021-09-12 20:59:16,77.083336056
372,13213240,2021-09-12 20:59:40,86.709404898
373,13213241,2021-09-12 20:59:56,97.541437124
374,13213242,2021-09-12 20:59:58,93.905241099
375,13213243,2021-09-12 21:00:11,95.065370219
376,13213244,2021-09-12 21:00:16,86.250580325
377,13213245,2021-09-12 21:00:56,97.019340468
378,13213246,2021-09-12 21:01:01,99.137273478
379,13213247,2021-09-12 21:01:28,95.936089611
380,13213248,2021-09-12 21:02:21,107.917704538
381,13213249,2021-09-12 21:02:41,118.676625802
382,13213250,2021-09-12 21:02:58,123.303795477
383,13213251,2021-09-12 21:03:05,113.743161344
384,13213252,2021-09-12 21:03:14,104.059369059
385,13213253,2021-09-12 21:03:39,107.609617184
386,13213254,2021-09-12 21:04:00,94.588782101
387,13213255,2021-09-12 21:04:15,106.404625159
388,13213256,2021-09-12 21:04:18,96.618848041
389,13213257,2021-09-12 21:04:28,91.857046617
390,13213258,2021-09-12 21:04:41,92.694893892
391,13213259,2021-09-12 21:04:42,81.860412664
392,13213260,2021-09-12 21:05:01,85.933773154
393,13213261,2021-09-12 21:05:02,79.877615555
394,13213262,2021-09-12 21:05:07,70.053426705
395,13213263,2021-09-12 21:05:30,78.798772733
396,13213264,2021-09-12 21:05:40,82.785876375
397,13213265,2021-09-12 21:05:42,72.437641829
398,13213266,2021-09-12 21:06:35,81.118627634
399,13213267,2021-09-12 21:07:20,91.245593082
400,13213268,2021-09-12 21:07:31,102.650314368
401,13213269,2021-09-12 21:07:40,115.464838301
402,13213270,2021-09-12 21:07:56,109.658735093
403,13213271,2021-09-12 21:07:57,100.715651285
404,13213272,2021-09-12 21:08:23,103.295336654
405,13213273,2021-09-12 21:08:35,91.534284122
406,13213274,2021-09-12 21:09:07,102.969297625
407,13213275,2021-09-12 21:09:08,96.286832187
408,13213276,2021-09-12 21:09:25,96.983655177
409,13213277,2021-09-12 21:10:27,109.101283176
410,13213278,2021-09-12 21:10:39,116.770758805
411,13213279,2021-09-12 21:10:52,102.936720761
412,13213280,2021-09-12 21:10:57,101.051185034
413,13213281,2021-09-12 21:10:59,90.501087083
414,13213282,2021-09-12 21:11:01,90.640421938
415,13213283,2021-09-12 21:11:13,86.922418516
416,13213284,2021-09-12 21:11:32,89.505832473
417,13213285,2021-09-12 21:11:34,78.742754192
418,13213286,2021-09-12 21:12:18,87.884054333
419,13213287,2021-09-12 21:12:27,96.024402749
420,13213288,2021-09-12 21:12:56,107.150115734
421,13213289,2021-09-12 21:13:11,99.203542594
422,13213290,2021-09-12 21:13:19,88.544885528
423,13213291,2021-09-12 21:13:25,87.572457556
424,13213292,2021-09-12 21:13:28,79.336674303
