,TOKEN_ID,USER,OFFER,DATE,RANK
105,4683,0x049223b6317543f02c33c33b2bd5856837440897,0.46935,2021-12-14T23:08:16.700310,6249
106,7997,0xfe48d6792716a39578e4aac311f17a2288e91e78,0.51,2021-12-14T22:56:31.406357,2358
107,7997,0x2c93e366a1c730d10026465b59802aa6260251ee,0.51,2021-12-14T22:47:04.926960,2358
108,7997,0x1c8c387a4e1caf6a0071c0ed3afc27b41e63aba6,0.51,2021-12-14T22:38:28.098875,2358
109,2565,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3432,2021-12-14T22:19:46.741551,645
110,3821,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3432,2021-12-14T22:06:34.399661,1498
111,4518,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.4611,2021-12-14T21:48:56.463845,3580
112,5980,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.3432,2021-12-14T21:37:52.977421,6242
113,5980,0x8de4e946f716441a42a8ccd1b631e7fd21cc90f5,0.369075,2021-12-14T21:37:29.599341,6242
114,2565,0x8de4e946f716441a42a8ccd1b631e7fd21cc90f5,0.4987,2021-12-14T21:36:45.070845,645
115,3821,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.4611,2021-12-14T21:31:08.920294,1498
116,5981,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3545,2021-12-14T21:09:48.211669,3551
117,741,0x05a20556c35bedd717ba48218d1644d37ef17499,0.3515,2021-12-14T21:00:25.070720,5192
118,2565,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.4611,2021-12-14T20:57:01.841874,645
119,2565,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.4611,2021-12-14T20:57:01.688837,645
120,4518,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.3545,2021-12-14T20:35:48.762340,3580
121,2565,0x05a20556c35bedd717ba48218d1644d37ef17499,0.3515,2021-12-14T20:34:45.089566,645
122,741,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3564,2021-12-14T20:28:59.086165,5192
123,2565,0x783be85e7ee67e84b2475d188e247ddc5c68961c,0.416115,2021-12-14T20:20:30.127733,645
124,2565,0x783be85e7ee67e84b2475d188e247ddc5c68961c,0.416115,2021-12-14T20:20:26.048235,645
125,3821,0x05a20556c35bedd717ba48218d1644d37ef17499,0.3515,2021-12-14T20:18:22.307548,1498
