Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3928.39/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x3b022c1aab341152b6e6bc7f2df5f894e96abb6a553e3ff1d694cd83fd5f7c4d,13276878,1632331847,9/22/21 17:30,0xc5575853a7bd508be54a9ce82d356b646645a4d6,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.009227262,36.24828224,3078.88,Error(0),Reverted,Mint
0xd72dc18327b0a0d5e43a879069ff5e6fdb06962926352bccba5da4cd1f224fbe,13276878,1632331847,9/22/21 17:30,0xa96da89fe68c057417b7ce6c5f74520f882c4d61,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.79,0,3103.4281,0.008862674,34.81603815,3078.88,Error(0),Reverted,Mint
0x36a9a3e7a67e4b929ba035f3f526d1794738017ad78f230376b3a5c0396ba55a,13276878,1632331847,9/22/21 17:30,0x52883b07aadb4a4df673f546d00065e2d923088f,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.395,0,1551.71405,0.0087009,34.18052855,3078.88,Error(0),Reverted,Mint
0xfea2b193a292e81de7bfb38668a4c22b3846c8cff196ce2dbd203d575d9cce17,13276878,1632331847,9/22/21 17:30,0x41246a417c123ec0da4eaef2f309fe1796e7e69d,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.395,0,1551.71405,0.008003889,31.4423976,3078.88,Error(0),Reverted,Mint
0xd995914ece1e3cd3b9efa5acfa724278c219f6405b165d116fe49810c9e2496d,13276878,1632331847,9/22/21 17:30,0x10e67690253249d8ae49458f273b110e52b87379,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00754078,29.62312474,3078.88,Error(0),Reverted,Mint
0xf9d083874491eab1976560fde943319c974802dd3cb1400e8193f84fefe16e9a,13276878,1632331847,9/22/21 17:30,0x69c52d4c414b18f51d133cb38ba3c49c9ca9933a,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.395,0,1551.71405,0.00754078,29.62312474,3078.88,Error(0),Reverted,Mint
0xe08f8346b506bab2600acb5621c1c6d3f28c7b767a094d413f91f1a9f6c4de6f,13276878,1632331847,9/22/21 17:30,0x6192a758e431051f28e27ecff388ff99ee998f2e,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00725075,28.48377379,3078.88,Error(0),Reverted,Mint
0xeadba35a84dc1aa9b304c7d9a975cc7036518f141798feffb5b0ee4a56ebe2b6,13276878,1632331847,9/22/21 17:30,0x1e0c6efc4f1a5c07d613709ebcd7b970593daa13,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.869,0,3413.77091,0.00725075,28.48377379,3078.88,Error(0),Reverted,Mint
0x28fc842bacad312fb2692b50b99620eeb7ee19710336706e86d4af086636f7ac,13276878,1632331847,9/22/21 17:30,0x7d112b3216455499f848ad9371df0667a0d87eb6,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.395,0,1551.71405,0.007133799,28.02434475,3078.88,Error(0),Reverted,Mint
0x10eb0dcd28f53c9c7d863f42b2eaf33b195245a6ba0c8e837812ab96a5da1e69,13276878,1632331847,9/22/21 17:30,0x22dda9b518a5960e7278c03fd78c323c484a8742,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.395,0,1551.71405,0.007105735,27.91409832,3078.88,Error(0),Reverted,Mint
