,id,price,date_sold
1371,3072,0.0032,2021-09-30T08:49:12
1370,827,0.0039,2021-09-30T08:50:10
1369,3060,0.0037,2021-09-30T08:50:26
1367,824,0.0039,2021-09-30T08:52:18
1368,3065,0.0035,2021-09-30T08:52:18
1366,4264,0.075,2021-09-30T08:52:31
1365,828,0.0039,2021-09-30T08:53:44
1363,2716,0.005,2021-09-30T08:54:23
1362,829,0.004,2021-09-30T08:55:31
1361,3343,0.03,2021-09-30T08:55:31
1360,3066,0.0034,2021-09-30T08:55:31
1359,2227,0.0074,2021-09-30T08:55:39
1358,4573,0.099,2021-09-30T08:56:30
1357,3058,0.0038,2021-09-30T08:56:30
1354,5571,0.03,2021-09-30T08:57:00
1355,4343,0.02,2021-09-30T08:57:00
1356,3950,0.005,2021-09-30T08:57:00
1353,2219,0.0074,2021-09-30T08:57:05
1352,4259,0.004,2021-09-30T08:57:26
1351,4257,0.004,2021-09-30T08:57:46
1350,4183,0.004,2021-09-30T08:57:51
1349,5364,0.005,2021-09-30T08:57:51
1348,5469,0.035,2021-09-30T08:57:51
1347,2356,0.0045,2021-09-30T08:58:24
1346,1853,0.005,2021-09-30T08:58:24
1345,2357,0.005,2021-09-30T08:58:24
1344,2368,0.0085,2021-09-30T08:58:41
1343,1369,0.065,2021-09-30T08:58:41
1340,350,0.02,2021-09-30T08:59:10
1341,2218,0.0074,2021-09-30T08:59:10
1339,2355,0.0095,2021-09-30T08:59:20
1338,2712,0.005,2021-09-30T08:59:26
1337,3948,0.005,2021-09-30T08:59:26
1336,2222,0.0074,2021-09-30T09:00:24
1335,3436,0.05,2021-09-30T09:00:24
1334,2244,0.009,2021-09-30T09:00:24
1333,4258,0.004,2021-09-30T09:00:24
1323,2094,0.008,2021-09-30T09:00:27
1324,2223,0.0074,2021-09-30T09:00:27
1325,2354,0.007,2021-09-30T09:00:27
1327,2360,0.0085,2021-09-30T09:00:27
1326,3099,0.005,2021-09-30T09:00:27
1329,2225,0.0074,2021-09-30T09:00:27
1330,4769,0.12,2021-09-30T09:00:27
1331,3657,0.045,2021-09-30T09:00:27
1332,2713,0.005,2021-09-30T09:00:27
1328,2224,0.0074,2021-09-30T09:00:27
1322,5872,0.027,2021-09-30T09:00:45
1321,1213,0.01,2021-09-30T09:00:45
1320,3848,0.14,2021-09-30T09:00:45
1319,3684,0.135,2021-09-30T09:00:45
1318,2247,0.009,2021-09-30T09:00:55
1317,5702,0.015,2021-09-30T09:00:55
1316,5386,0.14,2021-09-30T09:00:55
1315,668,0.0099,2021-09-30T09:00:55
1314,525,0.01,2021-09-30T09:00:55
1309,2220,0.0074,2021-09-30T09:01:25
1310,2248,0.009,2021-09-30T09:01:25
1313,3103,0.009,2021-09-30T09:01:25
1312,1370,0.0089,2021-09-30T09:01:25
1311,589,0.006,2021-09-30T09:01:25
1308,2366,0.006,2021-09-30T09:01:42
1307,5529,0.04,2021-09-30T09:01:50
1305,2377,0.012,2021-09-30T09:02:05
1304,1227,0.01,2021-09-30T09:02:05
1303,4416,0.0075,2021-09-30T09:02:14
1302,2254,0.009,2021-09-30T09:02:14
1297,1521,0.01,2021-09-30T09:02:20
1298,4182,0.04,2021-09-30T09:02:20
1301,4551,0.0069,2021-09-30T09:02:20
1299,2221,0.0074,2021-09-30T09:02:20
1300,48,0.008,2021-09-30T09:02:20
1296,53,0.01,2021-09-30T09:02:40
1295,4415,0.0075,2021-09-30T09:02:43
1294,1634,0.0098,2021-09-30T09:02:47
1293,3108,0.009,2021-09-30T09:03:02
1292,5300,0.05,2021-09-30T09:03:11
1291,65,0.01,2021-09-30T09:03:11
1290,4417,0.0075,2021-09-30T09:03:11
1289,5465,0.01,2021-09-30T09:03:11
1288,2760,0.01,2021-09-30T09:03:11
1287,2216,0.0074,2021-09-30T09:03:11
1277,2217,0.0074,2021-09-30T09:03:28
1278,189,0.01,2021-09-30T09:03:28
1279,2743,0.009,2021-09-30T09:03:28
1280,3149,0.01,2021-09-30T09:03:28
1285,1488,0.01,2021-09-30T09:03:28
1282,2243,0.009,2021-09-30T09:03:28
1283,1621,0.01,2021-09-30T09:03:28
1284,362,0.01,2021-09-30T09:03:28
1281,1371,0.0089,2021-09-30T09:03:28
1286,1489,0.01,2021-09-30T09:03:28
1274,5519,0.01,2021-09-30T09:04:07
1276,1030,0.0099,2021-09-30T09:04:07
1275,5826,0.02,2021-09-30T09:04:07
1271,5079,0.02,2021-09-30T09:04:12
1273,2251,0.009,2021-09-30T09:04:12
1272,2256,0.02,2021-09-30T09:04:12
1269,355,0.01,2021-09-30T09:04:18
1268,5578,0.05,2021-09-30T09:04:18
1267,2226,0.012,2021-09-30T09:04:18
1266,4731,0.03,2021-09-30T09:04:18
1265,1526,0.01,2021-09-30T09:04:32
1264,1372,0.0098,2021-09-30T09:04:32
1262,3430,0.16,2021-09-30T09:04:32
1250,1224,0.01,2021-09-30T09:04:49
1251,3472,0.01,2021-09-30T09:04:49
1252,3746,0.012,2021-09-30T09:04:49
1253,1228,0.01,2021-09-30T09:04:49
1254,2561,0.0555,2021-09-30T09:04:49
1259,4181,0.01,2021-09-30T09:04:49
1256,3668,0.15,2021-09-30T09:04:49
1257,3107,0.01,2021-09-30T09:04:49
1258,3960,0.04,2021-09-30T09:04:49
1260,2378,0.012,2021-09-30T09:04:49
1261,1511,0.01,2021-09-30T09:04:49
1255,1512,0.01,2021-09-30T09:04:49
1249,1523,0.01,2021-09-30T09:05:10
1241,2757,0.01,2021-09-30T09:05:18
1240,188,0.01,2021-09-30T09:05:18
1242,2756,0.15,2021-09-30T09:05:18
1239,2386,0.012,2021-09-30T09:05:18
1244,359,0.01,2021-09-30T09:05:18
1245,352,0.01,2021-09-30T09:05:18
1246,1416,0.01,2021-09-30T09:05:18
1247,358,0.01,2021-09-30T09:05:18
1243,3156,0.018,2021-09-30T09:05:18
1238,2380,0.012,2021-09-30T09:05:33
1237,2384,0.012,2021-09-30T09:05:33
1236,2390,0.012,2021-09-30T09:05:33
1235,3890,0.01,2021-09-30T09:05:45
1234,2091,0.015,2021-09-30T09:05:45
1226,357,0.01,2021-09-30T09:05:49
1227,1801,0.02,2021-09-30T09:05:49
1231,3889,0.01,2021-09-30T09:05:49
1230,351,0.01,2021-09-30T09:05:49
1232,5419,0.19,2021-09-30T09:05:49
1233,3556,0.043,2021-09-30T09:05:49
1229,361,0.01,2021-09-30T09:05:49
1225,2257,0.02,2021-09-30T09:06:15
1224,3435,0.055,2021-09-30T09:06:15
1216,3306,0.02,2021-09-30T09:06:17
1214,1206,0.0123,2021-09-30T09:06:17
1215,524,0.01,2021-09-30T09:06:17
1217,1635,0.0099,2021-09-30T09:06:17
1213,882,0.0123,2021-09-30T09:06:17
1219,2686,0.015,2021-09-30T09:06:17
1220,3708,0.0125,2021-09-30T09:06:17
1221,591,0.0125,2021-09-30T09:06:17
1222,1672,0.01,2021-09-30T09:06:17
1223,353,0.01,2021-09-30T09:06:17
1218,3094,0.01,2021-09-30T09:06:17
1206,2464,0.025,2021-09-30T09:06:55
1208,2393,0.012,2021-09-30T09:06:55
1207,5701,0.015,2021-09-30T09:06:55
1210,2751,0.01,2021-09-30T09:06:55
1212,5823,0.045,2021-09-30T09:06:55
1209,2088,0.015,2021-09-30T09:06:55
1205,2699,0.015,2021-09-30T09:06:57
1204,5301,0.02,2021-09-30T09:06:57
1203,5081,0.02,2021-09-30T09:06:57
1202,356,0.01,2021-09-30T09:06:57
1193,2071,0.0123,2021-09-30T09:07:25
1190,2382,0.012,2021-09-30T09:07:25
1191,2388,0.012,2021-09-30T09:07:25
1192,3433,0.057,2021-09-30T09:07:25
1194,2392,0.012,2021-09-30T09:07:25
1200,2375,0.012,2021-09-30T09:07:25
1196,2383,0.012,2021-09-30T09:07:25
1197,1794,0.015,2021-09-30T09:07:25
1198,2180,0.0123,2021-09-30T09:07:25
1199,5065,0.016,2021-09-30T09:07:25
1176,2179,0.0123,2021-09-30T09:08:26
1177,5077,0.02,2021-09-30T09:08:26
1178,2687,0.015,2021-09-30T09:08:26
1179,2387,0.012,2021-09-30T09:08:26
1180,2376,0.012,2021-09-30T09:08:26
1181,5704,0.015,2021-09-30T09:08:26
1185,2178,0.0123,2021-09-30T09:08:26
1183,354,0.01,2021-09-30T09:08:26
1184,883,0.0123,2021-09-30T09:08:26
1186,2394,0.012,2021-09-30T09:08:26
1187,2385,0.012,2021-09-30T09:08:26
