TOKEN_ID,TOKEN_NAME,Color,Case,Hands,Dial,Border,Bezel,Effect
153,#153 - Sitting Green Astronaut,Peach,Olive Button Dark,Baton 35,Mixed Arabic 9,Ring 19,North East,
154,#154 - Reading Green Poet,Black,Light 1 of 4,Modern 10,Stick 5,Ring Light 56,Dotted North East,
155,#155 - Coding Blue Sailer,Peach,Dark Mediterranean Life,Special 6,Arabic 9,Ring 53,Dots,
156,#156 - Crazy Trader,Black,Light Colorful Sphere,Modern 17,Stick 2,Ring Light 1,Red Spikes,
157,#157 - Mystic Dark Sailer,White,Dark Ship,Dauphine 9,Stick 2,,,
158,#158 - Fighting Dark Sailer,Blue Light,Dark Meta Space,Baton 49,Mixed Arabic 9,Ring 31,Broken Rainbow,
159,#159 - Counting Green Bouncer,Olive,Light Green Blue Transition,Dauphine 16,Mixed Arabic 10,Ring Light 57,Tiny Top,
160,#160 - Lonely Light Cruiser,Petrol,Light Collage 1 Focused,Breguet 7,Diver 2,Ring Light 74,,
161,#161 - Jumping Conductor,Black,Light Meta 4,Baton 55,Arabic 5,Octa Light 4,Light Heavy Left,
162,#162 - Sitting Dark Warrior,Peach,Dark 2049,Special 5,Flieger 3,Ring 55,Colorful Seasons,
163,#163 - Reading Blue Sailer,Blue Light,Dark Pixels With Lines,Special 1,Mixed Arabic 7,Ring 54,Small Rainbow Protection,
164,#164 - Bumping Blue Mechanic,Green,Light 2 of 4,Spade 2,Mixed Arabic 4,Ring Light 51,All But Bottom,
165,#165 - Decent Explorer,Pink,Blue Button Dark,Flame 1,Flieger 4,Ring 47,Small Borders,Explorer
166,#166 - Caring Sailer,Lemon,Dark Rainbow Carved,Baton 25,Arabic 8,Ring 33,Small Borders,
167,#167 - Thinking Red Biker,Aero,Dark Red Velvet,Baton 31,Mixed Arabic 10,Octa 6,Big Top,
168,#168 - Flexing Gladiator,Pink,Dark Rainbow Button,Baton 15,Arabic Roman,,,
169,#169 - Hunting Green Scorpion,Pink,Dark Olive Machine,Baton 3,Mixed Arabic 12,Ring 35,Full Rainbow Protection,
170,#170 - Sliding Dark Geek,White,Dark Ship With Lines,Baton 23,Stick 2,Ring 25,,
