TOKEN_ID,TOKEN_NAME,Hat,Ear,Hair,Beard,Clothes,Skin,Background,Eyes,Mouth,Cheek,Face
8195,BUTTHEAD #8195,Halo,,Very Short,Gentlemen Mustache Brown,Lumberjack,Dark Brown with tattoos,Green,,,,
8196,BUTTHEAD #8196,,,Jude,,Fan Shirt,Light,Pastel Green,Insect,Cigarette,,
8197,BUTTHEAD #8197,Beanie Black,,Average Brown,Scruff Brown,Bullseye Shirt,Dark Brown,Gradient,Steam Punk,Straw,,
8198,BUTTHEAD #8198,Flower Crown,,Long Brown,Three-Day Blonde,Worn Out,Dark Brown,Green,,,,
8199,BUTTHEAD #8199,,,Emo Black,,Joker,Brown,Beige,Broken,,,
8200,BUTTHEAD #8200,,,Nick Bowl Brown,Gentlemen Mustache Brown,Dude,Dark Brown,Beige,Steam Punk,Cigar,,
8201,BUTTHEAD #8201,Devil Horns,,Sissy Dark Blonde,Three-Day Brown,Gigolo Outfit,Light with tattoos,Grey,Googly Eyes,,,
8202,BUTTHEAD #8202,Visor Green,,Short,Mustache Pink,Marty,Dark Brown,Cyan,Hippie,,,
8203,BUTTHEAD #8203,Flat Cap Black,,Clown,Mustache Brown,Joker,White,Beige,,,,
8204,BUTTHEAD #8204,Bear,,Undercut Blue,Scruff Brown,Suit,Slime,Gradient,Pineapple,,,
8205,BUTTHEAD #8205,,Safety Pin,Mullet Blonde,,Joker,Light,Pastel Green,Leon,,,
8206,BUTTHEAD #8206,,,Bowl Brown,Three-Day Brown,Fleece Jacket,Light,Magenta,Buttons,,,
8207,BUTTHEAD #8207,,,Dreads Colorful,Gentlemen Mustache Blonde,Space Suit,Light with tattoos,Peach,,,,
8208,BUTTHEAD #8208,,,Brain,,Hawaii Shirt Red,Dark Brown with tattoos,Cyan,Bike,Cigar,,
8209,BUTTHEAD #8209,,Headphones,Fringe,,Ice Hockey,White,Beige,Speed,,,
8210,BUTTHEAD #8210,FVCK Cap,,Fringe,Full Grey,Marty,Light with tattoos,Grey,Burglar,Cigar,,
8211,BUTTHEAD #8211,Headband Sport,Earring,Crop,,Ice Hockey,Dark Brown,Beige,,Corn Straw,,
8212,BUTTHEAD #8212,,Safety Pin,Afro Pink,Gentlemen Mustache Pink,Pimp Coat Tiger,White,Magenta,Bike,,,
8213,BUTTHEAD #8213,Mesh Cap Fish,,Jude,,Ice Hockey,Light,Cyan,Matrix,,,
8214,BUTTHEAD #8214,Snapback Mesh,,Dreads Colorful,,Party Tank Top,Brown,Cyan,Hippie,,,
8215,BUTTHEAD #8215,,,Sissy Dark Blonde,,Biker Vest,White,Pastel Green,Pineapple,,,
8216,BUTTHEAD #8216,Pizza,,Surfer Curly,Full Grey,Bathrobe,White,Green,,,,
8217,BUTTHEAD #8217,Cowboy Hat Black,,Nick Bowl Colorful,,Gentlemen,Light,Peach,,,,
8218,BUTTHEAD #8218,,Headphones,Pompadour Blue,Mustache Pink,Fight Club,Dark Brown,Cyan,,,,
8219,BUTTHEAD #8219,Halo,,Crop,Gentlemen Mustache Blonde,Puffer Jacket,Slime,Pastel Green,Pineapple,,,
8220,BUTTHEAD #8220,,,Undercut Blue,,Western Cowboy Jacket,Light,Peach,,,,
8221,BUTTHEAD #8221,,,Pompadour Blue,,T-Shirt Lilac,White,Grey,Lolita,Cigarette,,
8222,BUTTHEAD #8222,Police,,Sissy Brown,Scruff Brown,Suit,Brown,Pastel Green,X-Ray,Cigar,,
8223,BUTTHEAD #8223,Hermes,,Mullet Blonde,Mustache Brown,T-Shirt Inkwell,Dark Brown,Green,Las Vegas,,,
8224,BUTTHEAD #8224,McButtheads,Feather,Undercut Blonde,,Joker,Light,Magenta,,Corn Straw,,
8225,BUTTHEAD #8225,FEZ,,Short,,Biker Vest,White,Gradient,,,,
8226,BUTTHEAD #8226,FVCK Cap,,Dreads Colorful,,Flamingo,Brown with tattoos,Green,,,,
8227,BUTTHEAD #8227,,,Very Short,Three-Day Blonde,Gigolo Outfit,Brown,Green,Star,,,
8228,BUTTHEAD #8228,McButtheads,Headphones,Undercut Blonde,,T-Shirt Marigold,Dark Brown,Pastel Green,,,,
8229,BUTTHEAD #8229,Flower Crown,,Mullet Blonde,,Bullseye Shirt,Brown,Green,Pineapple,,,
8230,BUTTHEAD #8230,Bear,,Pompadour Blonde,Full Brown,Beige Shirt,Brown,Cyan,Broken,,Scar,
8231,BUTTHEAD #8231,Safety Helmet,,Suave ,Three-Day Blonde,Bullseye Shirt,Brown,Magenta,Speed,,,
8232,BUTTHEAD #8232,Snapback Red,,Emo Dark Blonde,Mustache Pink,Bullseye Shirt,Light,Beige,Buttons,,,
8233,BUTTHEAD #8233,Flower Crown,Headphones,Nick Bowl Brown,,Suit,Light,Peach,Black Sunglasses ,Cigar,,
8234,BUTTHEAD #8234,Halo,,,,Desert Jacket,Light with tattoos,Peach,Kiss,,,
8235,BUTTHEAD #8235,Party,,Curly Blonde,,Striped Red T-Shirt,Brown,Gradient,,,,
8236,BUTTHEAD #8236,Visor Red,Headphones,Pompadour Blue,,Hawaii Shirt Green,Light with tattoos,Beige,,,,
8237,BUTTHEAD #8237,,,Mullet Blonde,Full Blonde,Punk Leather Jacket,Light with tattoos,Green,Laser,,,
8238,BUTTHEAD #8238,Flower Crown,Headphones,Fringe,,Space Suit,Brown,Pastel Green,,Bubble Gum,,
8239,BUTTHEAD #8239,,Earring,Punk Green,,Hoodie,Light,Cyan,Googly Eyes,,,
8240,BUTTHEAD #8240,Crown,Diamond,Fringe,,T-Shirt Lilac,Brown,Peach,,Corn Straw,,
8241,BUTTHEAD #8241,Beanie Black,,Classic Side Part,,Hoodie,Dark Brown,Beige,Joke,,,
8242,BUTTHEAD #8242,,,Punk Green,,Shirt Dark,Brown,Cyan,Broken,,,
8243,BUTTHEAD #8243,,,Emo Dark Blonde,,Space Shirt,White with tattoos,Beige,Burglar,,,
8244,BUTTHEAD #8244,Bucket Hat Orange,,Emo Dark Blonde,,Gentlemen,Brown,Magenta,Broken,,,
8245,BUTTHEAD #8245,,Triple Earring,Curly Blonde,,Marty,Brown with tattoos,Peach,,,,
8246,BUTTHEAD #8246,Crown,,Dreads Colorful,Gentlemen Mustache Brown,Dressing Gown,Dark Brown,Green,Buttons,,,
8247,BUTTHEAD #8247,FEZ,Feather,Suave ,,T-Shirt with Suspenders,Brown,Beige,Pineapple,,Scar,
8248,BUTTHEAD #8248,Visor Green,,20s,,T-Shirt French Blue,Brown with tattoos,Gradient,,,,
8249,BUTTHEAD #8249,,,Pompadour Blonde,,Caveman,White with tattoos,Gradient,Spring,,,
8250,BUTTHEAD #8250,Top Hat,Feather,Crop,,Tank Top,Dark Brown,Grey,Spring,Cigar,,
8251,BUTTHEAD #8251,FVCK Cap,,Curly Brown,,Space Suit,Dark Brown,Grey,,,,
8252,BUTTHEAD #8252,Prison,,Shoulder Long Colorful,Scruff Brown,Suit,White,Peach,,,,
8253,BUTTHEAD #8253,Bandana Black,,Slicked Back,Gentlemen Mustache Blonde,Turtleneck Sweater,Brown with tattoos,Cyan,,,,
8254,BUTTHEAD #8254,,Feather,Pompadour Blonde,Scruff Brown,T-Shirt French Blue,Light with tattoos,Green,,Bubble Gum,,
8255,BUTTHEAD #8255,Hermes,,Curly Brown,,Sleeveless Sweater,White,Grey,,Corn Straw,,
8256,BUTTHEAD #8256,,,Punk Green,,Party Tank Top,White,Magenta,Pineapple,,,
8257,BUTTHEAD #8257,FVCK Cap,,Pompadour Blonde,,Beige Shirt,Brown with tattoos,Grey,Leon,Corn Straw,,
8258,BUTTHEAD #8258,,,,,Gym Tank Top,Light with tattoos,Gradient,Sweets,,,
8259,BUTTHEAD #8259,Top Hat,,Mullet Brown,,Shirt and Sweater,Brown with tattoos,Beige,Joke,,,
8260,BUTTHEAD #8260,Hat Beige,Earring,Suave ,,Polo Shirt,Brown,Grey,Pineapple,,,
8261,BUTTHEAD #8261,,,Mullet Blonde,Full Grey,Gym Tank Top,Brown,Green,,,,
