,TOKEN_ID,USER,SELLER,DATE,RANK,PRICE
69,57,0xd26d0e9242938a929dbdf8464a82c031781d1a39,0x686065227b7f881991eca1f4b9b016a43fccb429,2021-10-23T19:24:44.589005,3627,1.69
70,2284,0x09496d106829e28c51428326d6cdfcbdb4ce4fdb,0x75169f916cc53b87056f3348301e7ab833dda941,2021-10-23T19:16:45.489133,2880,1.67
71,5706,0xae04b962f2ab9d0187fa2ea74260f223c63095b8,0xd5afb7759dbc992e1d1e7ee3cf8331be45c8b7b8,2021-10-23T18:30:19.855330,5608,1e-06
72,1068,0x54bfc7d2b3d207e9b66ae4d5c275078315dd928b,0xf9b0e05c931621d29eb2e992d43662e8a4991725,2021-10-23T18:18:52.535334,2725,2.56
73,8362,0x922a7469f3537c531acbced229aa72b91f2b5629,0x54bfc7d2b3d207e9b66ae4d5c275078315dd928b,2021-10-23T18:10:37.436306,5699,1.5
74,2094,0x4a90e18f3e90074a820532a3da62b347ea86711b,0x54bfc7d2b3d207e9b66ae4d5c275078315dd928b,2021-10-23T17:38:19.520650,5151,1.5
75,2371,0xa548d95378ec16e000563d89684c64869f72bc0d,0x5dacbdd20b9eafaaa30bfad3b2af1793036d65f3,2021-10-23T16:47:32.084616,4165,1.65
76,472,0x0106b54c9937fa59384647d44c11545d73cb6e99,0x07aaa5c4d860a20a99b86dc457a5d441d06d6d57,2021-10-23T14:50:52.954406,5977,1.8
77,2096,0xca05da65c7f83a30556ffffb035e58bada4d9ccf,0x9c44495ced9f08a0741dfa3751e949e838de95ff,2021-10-23T14:24:13.703567,2722,2.0
78,3082,0x6a0ddcea568ffbe49a58a01c834a905a661c2ed7,0xb6feb25cca9605608bfff3cab0c0bdcbfc3347b4,2021-10-23T13:41:53.643740,7215,1.57
79,2589,0x6a0ddcea568ffbe49a58a01c834a905a661c2ed7,0x9a8b7ad7c7bc8502c0e31547de03ba864a444c1a,2021-10-23T13:36:30.807572,7999,1.48
80,7181,0x09247bca14d8222d563668771c3eaa2830a61dc4,0x09247bca14d8222d563668771c3eaa2830a61dc4,2021-10-23T13:16:19.552523,6677,1.6
81,674,0x160b4b8a86e93e7208eb73f7ac62e3397a02d6eb,0x6391a9b549970deaa66a27b5a4410dbfe4d324a0,2021-10-23T13:10:26.453560,2117,2.74
82,1997,0x2a6f6445081103b928186898d28df3c20d248914,0x7893b13e58310cdac183e5ba95774405ce373f83,2021-10-23T12:57:30.479153,3801,1.75
83,5082,0x39d0792ad8a277af90b91c32eabc2aef37f8c151,0xf6ca17cfe1fa5475f282a8a60adc676b6b131515,2021-10-23T12:36:23.372513,3259,1.83
84,6415,0x9ade3067e2f6e9915d0f276687877fbe1515a006,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-23T12:28:22.498623,7704,1.46
85,5082,0xf6ca17cfe1fa5475f282a8a60adc676b6b131515,0x6b6915ee85e3905944ea912176049ee765edefcb,2021-10-23T12:20:25.767109,3259,1.4
86,3210,0x068e253ad6058daec4a5e22c135d3d305d6ebe43,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-23T12:10:40.141347,6825,1.46
87,6231,0x8306595570c7f5453d5dc595bf67c6679567e214,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-23T11:34:23.154271,6392,1.46
88,6143,0xb18e3c41faf4139b89b4ebf1f5ef645a3ad0ec7f,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-23T10:44:23.407098,6557,1.46
89,5456,0x5633a7fea461e8d7685fc0e728e783c3e7550af3,0xc70016571f1ec9b58614491a96218d71b70b22bb,2021-10-23T09:55:51.837991,8120,1.4308
90,3100,0xef768ef781637a7995a2b57ff77825e8abcf682d,0xcd093df1291f855dd2adc4ac8696ce1c0c08739a,2021-10-23T09:47:36.901650,6768,1.75
91,6232,0xffc872879e69e9f8309de85cd171a8df17af8b18,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-23T09:41:39.319209,7190,1.46
92,8588,0xa25bc584e25f94c88288c38b364bed0344d496e3,0xa25bc584e25f94c88288c38b364bed0344d496e3,2021-10-23T09:40:00.092032,1588,1.7
93,5839,0xa4f97542f9fc80f9c059b0f67d4131a41e18c02f,0xa4f97542f9fc80f9c059b0f67d4131a41e18c02f,2021-10-23T09:34:08.050429,7166,1.8
94,2123,0x1f26fb0c7a32ccfe7d89823227059c5f683aeb1d,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-23T08:39:14.417578,4319,1.46
95,1997,0x8fa44c5be73039b118155909945919b9896724d1,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-23T08:12:19.337891,3801,1.45
96,3438,0x8fa44c5be73039b118155909945919b9896724d1,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-23T08:11:38.956029,7906,1.4376
97,500,0x7893b13e58310cdac183e5ba95774405ce373f83,0xa17138c0675173b8ea506fb1b96fa754bc316cc2,2021-10-23T08:09:35.790849,4959,1.78
98,4972,0x5c20b91f068f34681e0c583f2bfd7831d5589ea8,0xca05da65c7f83a30556ffffb035e58bada4d9ccf,2021-10-23T07:49:06.382897,5273,1.99
99,3647,0xc72b1da62def05b2677bcb0518c2d3bdac5feca6,0x1d74a28484a11380e30e9d7e2f6e46b22b7150bf,2021-10-23T06:45:25.302638,6926,1.6
100,1410,0xaea40f4a9897aebc8775f964a6e3000ba258881c,0x437854ead22fa00c7d3a8b0a42b0ce06c8ba2145,2021-10-23T06:44:28.987203,7856,1.739
101,5985,0x2c3ac1a1ac9cce7c027f9e87c1753c736468e07e,0x54753af1304e440e238ea32258fff052c130d4db,2021-10-23T06:34:29.553282,261,5.84
102,5758,0xc63b33600ef47e2db5749cffb370d871d398ef24,0x0d6d40568eadea5d0f6f4100c539c748b37322d2,2021-10-23T06:32:57.963688,110,11.0
103,5496,0x2c3ac1a1ac9cce7c027f9e87c1753c736468e07e,0x2c3ac1a1ac9cce7c027f9e87c1753c736468e07e,2021-10-23T06:31:38.389892,217,10.0
104,5456,0xeafe4339527736d25a496a154143232657228913,0xeafe4339527736d25a496a154143232657228913,2021-10-23T06:27:20.164008,8120,1.2237
105,3082,0xeafe4339527736d25a496a154143232657228913,0xeafe4339527736d25a496a154143232657228913,2021-10-23T06:25:27.173426,7215,1.3
106,459,0xeafe4339527736d25a496a154143232657228913,0xeafe4339527736d25a496a154143232657228913,2021-10-23T06:24:21.117233,1606,1.41
107,4349,0x4fc6c8097687377e27ab173d93a2a30666ebe303,0xe111fda134ff7e5da80d77d6e2f9cd7ef2a0be57,2021-10-23T05:41:17.386886,7875,1.639
108,4972,0xca05da65c7f83a30556ffffb035e58bada4d9ccf,0x87b5c0a7a67a163e7bca3b56cd51d4dc8d2a4918,2021-10-23T05:35:43.186176,5273,1.5
109,2402,0x69628780f408c2ae92f8479a994db04b0cd93917,0xdeb9aa23d26b9283ee3e89c786ed0c71c9748b37,2021-10-23T03:09:06.183828,4497,2.0
110,7169,0xa106338772931be6b4feb671c2fb1c3c1994c892,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-23T02:57:35.475882,6951,1.69
111,1062,0x9e7c8eedebc0a28e18ab92a9b27d23b80839c613,0x9e7c8eedebc0a28e18ab92a9b27d23b80839c613,2021-10-23T02:07:51.690548,200,10.0
112,2721,0x86b4b25409e4410935fac7bcb46678ea15eae7bc,0x0d589a62f709619534632b37eca37730a02ea4b5,2021-10-23T01:59:56.128429,4177,4.69
113,4460,0x8bff28e8fa4ee30ab465a24ec857a63fd6d76b26,0xb6c2dca96109b598a62af0a5f650734023a14c24,2021-10-23T01:28:45.113566,6451,1.635
114,7406,0x46c55bc7da2e0a1d433042934969dbff0f7ae2c4,0x66032f4cb08f3d64f84fa06fa08713254e39352c,2021-10-23T01:19:02.740127,3155,2.24
115,6761,0xf0ed09ba849f7c67cf0507e174edcdcb57df7b8f,0xf0ed09ba849f7c67cf0507e174edcdcb57df7b8f,2021-10-23T01:07:18.816207,4571,1.85
116,8526,0x67164da45ddd1125cf2f2a59d539f0343e04a397,0x67164da45ddd1125cf2f2a59d539f0343e04a397,2021-10-23T01:03:39.482069,8251,1.4407
117,5985,0x9b814233894cd227f561b78cc65891aa55c62ad2,0x78ac9c2545850bedbc076eb30ce7a6f0d74b395e,2021-10-23T00:28:36.462843,261,4.5151968
118,3657,0x85974d5073429c1d7dcdc1106227d5b0edb6aa50,0xd895b264f1877eef0a824223e5bf31a74c5f2b87,2021-10-23T00:17:16.841108,4074,1.89
119,6672,0xf0228c03c84560b983aab0ffe39870731d0bcae2,0x379365cb168218d91a44ab1b3b8c4863cf566cad,2021-10-22T23:48:56.274059,567,4.0
120,7050,0x9b814233894cd227f561b78cc65891aa55c62ad2,0x970b4e7a7d9ff5376bdd3bf838a10fefd14c730b,2021-10-22T23:47:15.624922,1149,4.0
121,91,0x0b2910cc5eede0d727edca73a5e60e921554456b,0xdb215f46ae1a40a9657ec96c477334b33ef10f1f,2021-10-22T23:33:47.053655,5311,1.89
122,7580,0x0dbf8406b7bd1bbbd97b78ab5aaba9102c98b731,0xb58efc2ca395e582304c3d333549191fa1464483,2021-10-22T23:12:59.861267,4838,2.425
123,2418,0x695398997b4edb1d07df7bf9e0031e013ead7c56,0xffc2096d78ae5315dc5705d6c6948e74d5e10ca7,2021-10-22T23:10:27.535319,3131,2.1
124,6320,0xce9808c83b9c7d80e16a9d54b5bf00398d7e7a0c,0xe6f7e45f8d57ae84c4f36abc184156e4c0db75d3,2021-10-22T21:55:45.927563,6121,1.64
125,586,0x5e292a23519acebd9e50d18820263cbc5aa42046,0x5e292a23519acebd9e50d18820263cbc5aa42046,2021-10-22T21:00:59.371933,2659,2.4
126,7580,0xb58efc2ca395e582304c3d333549191fa1464483,0x45f8c2a23761a9ff0629e7ef8c1245bcd2511a00,2021-10-22T20:31:40.535423,4838,1.99
127,2719,0x545bed357f9e7e96ffce7255c4f1a3ff9c8d9f8a,0x3e15ce65550383615828bd58a37c1279ed1c27da,2021-10-22T19:23:17.165460,3441,2.5
128,6754,0xd085e3ed4bbc2e0323f68627a4263d1ff363ea5a,0xe7d0434eeb1773c9a0085dcfeeb3e628d2ca49a4,2021-10-22T18:56:34.187561,7829,1.659
129,4320,0x288bbbf21d83a0fe3b9b22d4a1685e6683250494,0x2ae4dca9e8e53e7bc199d458f3c0124fd60729ee,2021-10-22T18:21:49.298157,3399,2.0
130,2085,0x219101f75ef1a584789882d4593466fafa3ccfee,0xb229ecf127fa0b6819b0369a616aaefaf6c1c314,2021-10-22T17:43:27.456247,4938,1.99
131,362,0x25d556f79f5a7a7f11f70ea4a408b09156f39106,0xc01bc2728960decdb6633bc5d7f441972cd41caa,2021-10-22T17:26:00.403858,2470,2.2
132,7937,0x6a0ddcea568ffbe49a58a01c834a905a661c2ed7,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-22T17:21:12.155988,8082,1.67
133,329,0x6a0ddcea568ffbe49a58a01c834a905a661c2ed7,0x053a788d61bd6f814ef3be4a87b1fd5fe2f54012,2021-10-22T17:19:39.301744,5863,1.66
134,3255,0x35f8b2320b5016156065773498b5be999bc0be4b,0x7d86cf1c8227528e6636ee8e350e8cc48e1fc024,2021-10-22T17:17:03.018816,6502,1.75
135,6410,0xc4cb61e54946fe86d9bd3b3182f1b4ac5f42488f,0xc4cb61e54946fe86d9bd3b3182f1b4ac5f42488f,2021-10-22T17:10:13.025247,2413,2.0
136,7293,0xd4e900c4985a22e99a3e059be2b5e39fc516469e,0xbb7604799142401ebc3a59ee8ffc58ccb8ea82f5,2021-10-22T17:09:03.213224,7594,1.7
137,8577,0x8d868bd35f0597b931c307a0297e6998c54c42bd,0x8d868bd35f0597b931c307a0297e6998c54c42bd,2021-10-22T17:05:55.933076,3640,1.75
138,858,0x1e7fa8e93a3fe1496c21f56275748c5af2a04d87,0x9fd9ec2a8bd80ee3105e979db5f052b92a2f3ff1,2021-10-22T17:05:11.855923,3924,1.75
139,886,0x8d868bd35f0597b931c307a0297e6998c54c42bd,0x8d868bd35f0597b931c307a0297e6998c54c42bd,2021-10-22T16:45:24.926050,1142,4.75
140,3482,0x5ea0fcdcaf7c866d727c5fbdea4a9bbed8a5a725,0x5ea0fcdcaf7c866d727c5fbdea4a9bbed8a5a725,2021-10-22T16:37:32.127138,1201,2.2
141,2085,0xb229ecf127fa0b6819b0369a616aaefaf6c1c314,0x135773fcc12574f037b3aedb3e589048b99926e1,2021-10-22T16:27:48.321112,4938,1.5
142,2086,0x39d0792ad8a277af90b91c32eabc2aef37f8c151,0x135773fcc12574f037b3aedb3e589048b99926e1,2021-10-22T16:26:53.653344,1338,1.5
